商品名称,商品价格,图片链接,成分,型号
The Peptide Collagen Hydrogel Eye Patch,"$23.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel-Eye-patch3_800x1067_e01612cc-f037-4535-8587-9a0d68d4f857.png?v=1768284034,null,* #1 Best Seller on TikTok Shop in Eye Treatment (US: September 2025 – May 2026)
COSRX The Blue Peptide Bakuchiol Plump Glow Serum,"$27.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_17_5a79319f-0b1b-44bc-800e-733f54acbee9.webp?v=1779356260,null, 50mL / 1.69 fl. oz.
COSRX The Blue Peptide Bakuchiol Plump Bounce Cream,"$28.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_22_1.webp?v=1779876216," Copper Peptide 0.5% (5,000ppm) + Bakuchiol 0.05% (500ppm)", 50mL / 1.69 fl. oz.
COSRX Azelaic Acid 10 B5 Redness Soothing Cream,"$20.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_19.webp?v=1782710342, Azelaic Acid 10%, 30mL / 1.01 fl. oz.
COSRX 5 PDRN Collagen Intense Vitalizing Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_small_fcd9651e-2b7e-450f-941e-228aae44457e.jpg?v=1780550849,null,": 100 mL / 3.38 fl oz, 50 mL / 1.69 fl oz"
COSRX 5 PDRN Hyaluronic Acid Vital Hydrating Hydrogel Mask,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1_aa33d15d-932c-41fd-9443-4c873458fea7.jpg?v=1775194995,null, : 1sheet / 3sheets
COSRX 5 PDRN B5 Vital Soothing Toner,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Toner_small_090947f5-045b-4df5-8c53-548d7db64f19.jpg?v=1780550880,null,": 280 mL / 9.46 fl oz, 80 mL / 2.71 fl oz"
Advanced Snail 96 Mucin Power Essence,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/260722_snailmucin_800x1067_79f91ebd-dde6-45a1-9928-1d6af0daae17.jpg?v=1784707120,null,null
Advanced Snail 92 All in One Cream,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/SnailCream200g_800x1067_47f7bb84-ae86-468e-85ca-b86beb3a2f7c.jpg?v=1757571879,null,null
Advanced Snail Mucin Gel Cleanser,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/08_5f155054-c22c-409f-872b-9aedfebfdc55.webp?v=1778476701,null,Specially formulated gel cleanser enriched with skin beneficial ingredients including snail mucin to hydrate and protect the skin.
The Ceramide Skin Barrier Moisturizer,"$23.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_18__1.jpg?v=1784611688,null,: 80mL (2.70 fl.oz)
